iter	RMSE
0	11.6781339
1	10.47429973
2	9.408414972
3	8.51745242
4	7.750853915
5	7.108753164
6	6.575743824
7	6.13548161
8	5.773203599
9	5.458656129
10	5.196098488
11	4.974225614
12	4.791608779
13	4.634577537
14	4.506212943
15	4.409112907
16	4.322276725
17	4.244945398
18	4.185312258
19	4.127242303
20	4.084913601
21	4.041959796
22	4.01130826
23	3.981592125
24	3.948382057
25	3.926003174
26	3.910604775
27	3.890245359
28	3.869250964
29	3.848979033
30	3.833243118
31	3.807895753
32	3.793470733
33	3.781596617
34	3.772457074
35	3.762163376
36	3.750105487
37	3.741028607
38	3.726423281
39	3.719185186
40	3.713360953
41	3.704991697
42	3.698529072
43	3.692497117
44	3.686613471
45	3.680928482
46	3.6756158
47	3.671236691
48	3.665124087
49	3.658972697
50	3.654784817
51	3.643090659
52	3.638803485
53	3.630143134
54	3.623678794
55	3.62024185
56	3.613682247
57	3.607594775
58	3.597326119
59	3.59423136
60	3.588891103
61	3.582786479
62	3.579361312
63	3.573229396
64	3.560936461
65	3.556319008
66	3.55308357
67	3.548526218
68	3.545398591
69	3.541426582
70	3.536564222
71	3.53385458
72	3.531577814
73	3.528452729
74	3.52384624
75	3.520809811
76	3.513860316
77	3.509701519
78	3.500623577
79	3.496316473
80	3.490056103
81	3.485318306
82	3.478610718
83	3.473911766
84	3.467016874
85	3.462652871
86	3.457817989
87	3.451607865
88	3.448866636
89	3.444706662
90	3.441154082
91	3.438036313
92	3.433764652
93	3.429508572
94	3.427047059
95	3.424510124
96	3.418763374
97	3.417670739
98	3.413126956
99	3.408658703
100	3.403885034
101	3.401220541
102	3.398906305
103	3.39545104
104	3.392240268
105	3.386896274
106	3.384463007
107	3.380748607
108	3.376367916
109	3.372188507
110	3.369568526
111	3.367360417
112	3.365265207
113	3.361658334
114	3.357451465
115	3.354024035
116	3.349076748
117	3.344579968
118	3.341598537
119	3.339151468
120	3.334410019
121	3.332685624
122	3.32782079
123	3.323998996
124	3.320151377
125	3.315636336
126	3.312655537
127	3.309928677
128	3.30778715
129	3.30469914
130	3.299738495
131	3.297528735
132	3.292872857
133	3.290141231
134	3.285673691
135	3.284310009
136	3.281641875
137	3.278874758
138	3.277411886
139	3.274184617
140	3.27227779
141	3.26804805
142	3.264718421
143	3.260208108
144	3.255209796
145	3.250439747
146	3.248468879
147	3.24593699
148	3.242062723
149	3.239220867
150	3.235649713
151	3.232236355
152	3.230372336
153	3.227577294
154	3.224948622
155	3.220214751
156	3.21698857
157	3.214296243
158	3.212867208
159	3.210037617
160	3.207146378
161	3.203799211
162	3.197770942
163	3.196058656
164	3.193624273
165	3.19057239
166	3.18789951
167	3.184786298
168	3.183321667
