iter	Passed	Remaining
0	3	735
1	6	649
2	9	627
3	13	659
4	18	702
5	21	695
6	24	670
7	27	650
8	29	630
9	32	617
10	36	622
11	38	609
12	41	601
13	44	592
14	47	584
15	50	576
16	53	576
17	56	569
18	59	563
19	61	557
20	64	552
21	67	547
22	70	546
23	73	540
24	76	536
25	79	530
26	82	526
27	84	521
28	87	516
29	91	516
30	93	512
31	96	508
32	99	504
33	102	500
34	105	498
35	108	495
36	111	491
37	114	489
38	118	487
39	120	483
40	124	481
41	126	477
42	129	473
43	132	469
44	135	465
45	138	462
46	141	460
47	144	457
48	148	456
49	152	456
50	156	457
51	161	458
52	165	457
53	168	456
54	173	456
55	176	454
56	179	450
57	182	446
58	185	443
59	188	439
60	191	435
61	194	433
62	197	429
63	200	425
64	203	421
65	206	418
66	209	415
67	214	415
68	217	412
69	220	410
70	224	407
71	227	404
72	230	401
73	233	398
74	236	394
75	239	390
76	242	387
77	246	384
78	249	381
79	251	377
80	254	374
81	257	370
82	260	366
83	263	364
84	266	360
85	269	357
86	272	353
87	275	350
88	278	346
89	281	343
90	284	340
91	287	336
92	290	333
93	292	330
94	295	326
95	299	323
96	301	320
97	304	316
98	307	313
99	310	310
100	313	306
101	317	304
102	320	301
103	322	298
104	325	294
105	328	291
106	331	287
107	335	285
108	338	283
109	342	280
110	346	277
111	351	276
112	355	273
113	359	271
114	363	268
115	368	266
116	371	263
117	373	259
118	376	256
119	379	253
120	382	249
121	386	246
122	388	243
123	391	240
124	394	236
125	397	233
126	400	229
127	403	227
128	406	223
129	409	220
130	412	217
131	415	213
132	418	210
133	421	207
134	424	204
135	427	201
136	430	197
137	433	194
138	435	191
139	440	188
140	444	186
141	448	183
142	453	180
143	457	177
144	460	174
145	463	171
146	467	168
147	470	165
148	475	162
149	481	160
150	486	157
151	492	155
152	497	152
153	503	150
154	508	147
155	511	144
156	514	140
157	517	137
158	520	134
159	523	130
160	527	127
161	531	124
162	535	121
163	539	118
164	543	115
165	546	111
166	549	108
167	552	105
168	554	101
169	557	98
170	561	95
171	565	92
172	568	88
173	572	85
174	576	82
175	580	79
176	584	75
177	588	72
178	592	69
179	596	66
180	600	63
181	604	59
182	608	56
183	612	53
184	615	49
185	618	46
186	621	43
187	624	39
188	626	36
189	630	33
190	635	29
191	641	26
192	646	23
193	650	20
194	653	16
195	656	13
196	659	10
197	661	6
198	664	3
199	668	0
